SOP,Title,date
2024-01-1837,"Odredba o spremembi Odredbe o določitvi poklicev, v katerih zaposlitev tujca nivezana na trg dela",28. 6. 2024
2021-01-3544,"Pravilnik o spremembah in dopolnitvah Pravilnika o osebni varovalni opremi, ki jo delavci uporabljajo pri delu",19. 11. 2021
2024-01-1750,Dodatek št. 17 h Kolektivni pogodbi za dejavnost elektroindustrije Slovenije,21. 6. 2024
2024-01-1751,Aneks št. 6 h Kolektivni pogodbi elektrogospodarstva Slovenije,21. 6. 2024
2024-01-1752,Aneks št. 8 h Kolektivni pogodbi za papirno in papirno-predelovalno dejavnost,21. 6. 2024
2024-01-1753,Aneks številka 4 h kolektivni pogodbi dejavnosti trgovine Slovenije,21. 6. 2024
2013-01-2183,Pravilnik o postopku vključevanja delavca v ukrepe na trgu dela med odpovednim rokom,5. 7. 2013
2019-01-3722,Zakon o dopolnitvi Zakona o delovnih razmerjih (ZDR-1B),27. 12. 2019
2022-01-0215,Zakon o spremembah Zakona o delovnih razmerjih (ZDR-1C),4. 2. 2022
2023-01-3325,Zakon o spremembah in dopolnitvah Zakona o delovnih razmerjih (ZDR-1D),15. 11. 2023
2020-01-0679,Zakon o interventnih ukrepih na področju plač in prispevkov (ZIUPPP),28. 3. 2020
2017-01-1462,Odpoved Kolektivne pogodbe za dejavnost poslovanja z nepremičninami,2. 6. 2017
2024-01-1930,"Višina najnižjih osnovnih plač za posamezne tarifne razrede in višine povračil stroškov prevoza na delo in z dela, prehrane med delom ter službenih potovanj v Sloveniji (dnevnice) v dejavnosti trgovine Slovenije, od 1. 7. 2024 dalje",3. 7. 2024
2017-01-2523,Zakon o spremembah in dopolnitvah Zakona o urejanju trga dela (ZUTD-D),6. 10. 2017
2022-01-1187,Zakon o spremembi Zakona o urejanju trga dela (ZUTD-G),20. 4. 2022
2022-01-0552,Zakon o interventnih ukrepih za podporo trgu dela (ZIUPTD1),4. 3. 2022
2023-01-3278,"Spremembe in dopolnitev Ustanovitvenega akta Javnega štipendijskega, razvojnega, invalidskega in preživninskega sklada Republike Slovenije",10. 11. 2023
2019-01-1923,Zakon o spremembah Zakona o preprečevanju dela in zaposlovanja na črno (ZPDZC-1A),28. 6. 2019
2021-01-0020,Uredba o načinu priprave kadrovskih načrtov posrednih uporabnikov proračuna in metodologiji spremljanja njihovega izvajanja za leti 2021 in 2022,8. 1. 2021
2019-01-3307,Zakon o spremembah in dopolnitvah Zakona o urejanju trga dela (ZUTD-E),12. 12. 2019
2020-01-3637,"Odredba o določitvi poklicev, v katerih zaposlitev tujca ni vezana na trg dela",29. 12. 2020
2021-01-2144,"Odredba o spremembi Odredbe o določitvi poklicev, v katerih zaposlitev tujca ni vezana na trg dela",24. 6. 2021
2021-01-4160,"Odredba o spremembi Odredbe o določitvi poklicev, v katerih zaposlitev tujca ni vezana na trg dela",28. 12. 2021
2022-01-2107,"Odredba o spremembi Odredbe o določitvi poklicev, v katerih zaposlitev tujca ni vezana na trg dela",30. 6. 2022
2022-01-4207,"Odredba o spremembah Odredbe o določitvi poklicev, v katerih zaposlitev tujca ni vezana na trg dela",27. 12. 2022
2023-01-2094,"Odredba o spremembi Odredbe o določitvi poklicev, v katerih zaposlitev tujca ni vezana na trg dela",22. 6. 2023
2023-01-3958,"Odredba o dopolnitvah in spremembi Odredbe o določitvi poklicev, v katerih zaposlitev tujca ni vezana na trg dela",21. 12. 2023
2018-01-1405,"Zakon o dopolnitvi Zakona o zaposlovanju, samozaposlovanju in delu tujcev (ZZSDT-B)",4. 5. 2018
2021-01-1958,"Zakon o zaposlovanju, samozaposlovanju in delu tujcev (uradno prečiščeno besedilo) (ZZSDT-UPB4)",7. 6. 2021
2022-01-1366,"Pravilnik o olajšavi za zaposlitev osebe v poklicu, za katerega na trgu dela primanjkuje iskalcev zaposlitve",6. 5. 2022
2023-01-4259,"Pravilnik o spremembi Pravilnika o olajšavi za zaposlitev osebe v poklicu, za katerega na trgu dela primanjkuje iskalcev zaposlitve",29. 12. 2023
2017-01-0046,Pravilnik o dovoljenjih za opravljanje strokovnih nalog na področju varnosti pri delu,13. 1. 2017
2020-01-1349,Pravilnik o opravljanju strokovnega izpita iz varnosti in zdravja pri delu,12. 6. 2020
2023-01-2747,Pravilnik o spremembi Pravilnika o zagotavljanju varnosti in zdravja delavcev pri ročnem premeščanju bremen,15. 9. 2023
2024-01-0823,"Pravilnik o varovanju delavcev pred tveganji zaradi izpostavljenosti rakotvornim, mutagenim ali reprotoksičnim snovem pri delu",4. 4. 2024
2009-01-1738,Razlage Kolektivne pogodbe za zdravnike in zobozdravnike v Republiki Sloveniji (KPZZ),15. 5. 2009
2020-01-1509,"Razlaga Kolektivne pogodbe za elektrogospodarstvo (v nadaljevanju KPES, Uradni list RS, št. 41/17)",24. 6. 2020
2018-01-4067,Zakon o spremembah Zakona o minimalni plači (ZMinP-B),24. 12. 2018
2011-01-2830,Pravilnik o spremembah Pravilnika o področjih prostovoljskega dela in vpisniku,29. 7. 2011
2017-01-0751,Aneks k tarifni prilogi h Kolektivni pogodbi za dejavnosti pridobivanja in predelave nekovinskih rudnin Slovenije,31. 3. 2017
2014-01-1684,Aneks št. 2 h Kolektivni pogodbi za policiste,6. 6. 2014
2023-01-3888,Pravilnik o obrazcu vloge za izdajo potrdila A1,20. 12. 2023
2022-01-2189,"Višina najnižjih osnovnih plač za posamezne tarifne razrede in višine povračil stroškov prevoza na delo in z dela, prehrane med delom ter službenih potovanj v dejavnosti trgovine Slovenije",1. 7. 2022
2018-01-3991,"Pravilnik o spremembah in dopolnitvah Pravilnika o prijavi in odjavi iz evidenc, zaposlitvenem načrtu, pravicah in obveznostih pri iskanju zaposlitve ter nadzoru nad osebami, prijavljenimi v evidencah",21. 12. 2018
2021-01-1889,"Pravilnik o spremembah Pravilnika o prijavi in odjavi iz evidenc, zaposlitvenem načrtu, pravicah in obveznostih pri iskanju zaposlitve ter nadzoru nad osebami, prijavljenimi v evidencah",4. 6. 2021
2022-01-0730,"Pravilnik o spremembah in dopolnitvah Pravilnika o prijavi in odjavi iz evidenc, zaposlitvenem načrtu, pravicah in obveznostih pri iskanju zaposlitve ter nadzoru nad osebami, prijavljenimi v evidencah",18. 3. 2022
2021-01-0362,Razlaga 4. člena Kolektivne pogodbe za kmetijstvo in živilsko industrijo Slovenije,5. 2. 2021
2020-01-1765,Višina najnižjih osnovnih plač za posamezne tarifne razrede in višino povračil stroškov prehrane med delom ter službenih potovanj v dejavnosti trgovine Slovenije,10. 7. 2020
2020-01-1868,Kolektivni dogovor,17. 7. 2020
2021-01-3704,Kolektivna pogodba za kmetijstvo in živilsko industrijo Slovenije,30. 11. 2021
2022-01-2375,Aneks št. 1 k Tarifni prilogi Kolektivne pogodbe za kmetijstvo in živilsko industrijo Slovenije,13. 7. 2022
2021-01-4172,Razlaga Aneksa št. 13 h Kolektivni pogodbi javnega zavoda RTV Slovenija,28. 12. 2021
2014-01-0135,Aneks k Tarifni prilogi h Kolektivni pogodbi za dejavnosti pridobivanja in predelave nekovinskih rudnin Slovenije,24. 1. 2014
2018-01-1282,Aneks k tarifni prilogi h Kolektivni pogodbi za dejavnosti pridobivanja in predelave nekovinskih rudnin Slovenije,26. 4. 2018
2023-01-3773,Aneks k tarifni prilogi h Kolektivni pogodbi za dejavnosti pridobivanja in predelave nekovinskih rudnin Slovenije,15. 12. 2023
2021-01-2326,"Višina najnižjih osnovnih plač za posamezne tarifne razrede in višina povračil stroškov prehrane med delom ter službenih potovanj v dejavnosti trgovine Slovenije, ki od 1. 7. 2021 dalje znašajo",2. 7. 2021
2018-01-2635,Aneks št. 1 k Tarifni prilogi Kolektivne pogodbe za lesarstvo,20. 7. 2018
2019-01-2137,Aneks št. 2 h Kolektivni pogodbi za lesarstvo,12. 7. 2019
2022-01-2376,Razlage h Kolektivni pogodbi komunalnih dejavnosti,13. 7. 2022
2022-01-2377,"Mnenje v zvezi s 36. členom KP KD (referenčno obdobje, nadurno delo in presežek ur)",13. 7. 2022
2022-01-3335,Tarifna priloga h Kolektivni pogodbi komunalnih dejavnosti,28. 10. 2022
2023-01-3157,Tarifna priloga h Kolektivni pogodbi komunalnih dejavnosti,27. 10. 2023
2023-01-0357,Odredba o višini urne postavke in višini dohodka za opravljeno začasno ali občasno delo upokojencev,15. 2. 2023
2023-01-2321,Aneks št. 1 h Kolektivni pogodbi za cestni potniški promet Slovenije,7. 7. 2023
2020-01-2803,Razlaga Aneksa št. 10 h Kolektivni pogodbi javnega zavoda RTV Slovenija,6. 11. 2020
2013-01-2072,Navodilo za obračun in plačilo dajatve od začasnega ali občasnega dela,28. 6. 2013
2021-01-2539,Razlaga Kolektivne pogodbe premogovništva Slovenije,16. 7. 2021
2024-01-2276,Razlagi h Kolektivni pogodbi komunalnih dejavnosti,30. 8. 2024
2024-01-2277,Mnenji glede izvajanja določb Kolektivne pogodbe komunalnih dejavnosti,30. 8. 2024
2010-01-5421,"Pravilnik o prijavi in objavi prostega delovnega mesta ali vrste dela, postopku posredovanja zaposlitve ter vsebini in načinu sporočanja podatkov Zavodu Republike Slovenije za zaposlovanje",24. 12. 2010
1991-01-0025,Zakon o spremembi in dopolnitvi zakona o delavcih v državnih organih (ZDDO-D),28. 6. 1991
1990-03-0742,Zakon o delavcih v državnih organih (ZDDO),20. 4. 1990
2025-01-1286,"Zakon o spremembah in dopolnitvah Zakona o zaposlovanju, samozaposlovanju in delu tujcev (ZZSDT-E)",6. 5. 2025
2021-01-2231,Pravilnik o spremembah in dopolnitvah Pravilnika o standardih in normativih za izvajanje storitev za trg dela in metodologiji za oblikovanje cen teh storitev,2. 7. 2021
2011-01-3014,Pravilnik o koncesijah za opravljanje storitev za trg dela,19. 8. 2011
2023-01-0460,Sklep o uskladitvi pokojnin in drugih prejemkov od 1. januarja 2023,24. 2. 2023
2023-01-0728,Sklep o uskladitvi in zneskih invalidnin za telesno okvaro od 1. marca 2023,10. 3. 2023
2023-01-1579,Sklep o zgornjih mejah za izplačilo dela vdovske pokojnine od 1. januarja 2023,5. 5. 2023
2023-01-2320,"Višina najnižjih osnovnih plač za posamezne tarifne razrede in višine povračil stroškov prevoza na delo in z dela, prehrane med delom ter službenih potovanj (dnevnice) v dejavnosti trgovine Slovenije, ki od 1. 7. 2023 dalje znašajo",7. 7. 2023
2014-01-0900,"Aneks k Tarifni prilogi Kolektivne pogodbe za tekstilne, oblačilne, usnjarske in usnjarsko predelovalne dejavnosti",4. 4. 2014
2023-01-0115,Ugotovitveni sklep o najnižjih mesečnih osnovnih plačah,20. 1. 2023
2022-01-3700,"Aneks št. 2 k Tarifni prilogi Kolektivne pogodbe za tekstilne, oblačilne, usnjarske in usnjarsko predelovalne dejavnosti",30. 11. 2022
1992-01-0805,Zakon o plačah delavcev v javnih vzgojnoizobraževalnih zavodih (ZPDJVZ),31. 3. 1992
1993-01-1954,Pravilnik o spremembah pravilnika o napredovanju v nazive v osnovnem in srednjem šolstvu,24. 9. 1993
1993-01-1697,Zakon o spremembah in dopolnitvah zakona o plačah delavcev v javnih vzgojnoizobraževalnih zavodih (ZPDJVZ-A),22. 7. 1993
2021-01-0508,Odredba o uskladitvi najnižje bruto urne postavke za opravljeno uro začasnih in občasnih del,18. 2. 2021
2022-01-0071,Odredba o uskladitvi najnižje bruto urne postavke za opravljeno uro začasnih in občasnih del,14. 1. 2022
2023-01-0105,Odredba o uskladitvi najnižje bruto urne postavke za opravljeno uro začasnih in občasnih del,20. 1. 2023
2024-01-0239,Odredba o uskladitvi najnižje bruto urne postavke za opravljeno uro začasnih in občasnih del,2. 2. 2024
2022-01-1555,Odredba o višini urne postavke za opravljeno začasno ali občasno delo upokojencev,13. 5. 2022
2021-01-1049,Zakon o dopolnitvi Zakona o urejanju trga dela (ZUTD-F),9. 4. 2021
2023-01-3143,Zakon o spremembi Zakona o urejanju trga dela (ZUTD-H),27. 10. 2023
2023-01-1065,Sklep o podaljšanju ukrepa delnega povračila nadomestila plače zaradi skrajšanja polnega delovnega časa,31. 3. 2023
2023-01-1861,Obvezna razlaga 7. člena Aneksa št. 14 h Kolektivni pogodbi javnega zavoda RTV Slovenija,2. 6. 2023
2020-01-0494,Odredba o višini prispevkov za osebno dopolnilno delo,9. 3. 2020
2023-01-0819,Odredba o višini prispevkov za osebno dopolnilno delo,17. 3. 2023
2024-01-0537,Odredba o višini prispevkov za osebno dopolnilno delo,8. 3. 2024
2023-01-2517,Kolektivni dogovor,21. 7. 2023
2023-01-2567,Kolektivna pogodba za dejavnost vodenja in kontrole zračnega prometa št. 171-1/24-2023,31. 7. 2023
2013-01-2512,Zakon o spremembah in dopolnitvah Zakona o urejanju trga dela (ZUTD-B),26. 7. 2013
2024-01-2351,"Razlaga Kolektivne pogodbe za zdravnike in zobozdravnike v RS in Posebnega tarifnega dela Kolektivne pogodbe za zdravnike in zobozdravnike v RS, sprejete na seji dne 10. 9. 2024",13. 9. 2024
2024-01-3093,Aneks h Kolektivni pogodbi za dejavnost vzgoje in izobraževanja v Republiki Sloveniji,25. 11. 2024
2018-01-2214,Pravilnik o spremembah in dopolnitvah Pravilnika o dodeljevanju Zoisovih štipendij,29. 6. 2018
1997-01-3711,Ugotovitveni sklep o izhodiščni plači za prvi tarifni razred,15. 12. 1997
1998-01-0345,Sklep o izhodiščni plači za prvi tarifni razred za negospodarske dejavnosti za mesec januar 1998,30. 1. 1998
1990-03-2162,Kolektivna pogodba PTT prometa,14. 12. 1990
